danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.47,0.948,10,-3.708,1,0.0539,0.000773,0.000373,0.0916,0.716,82.491,audio_features,51HpNM8RKewP5PAuBLqXwy,spotify:track:51HpNM8RKewP5PAuBLqXwy,https://api.spotify.com/v1/tracks/51HpNM8RKewP5PAuBLqXwy,https://api.spotify.com/v1/audio-analysis/51HpNM8RKewP5PAuBLqXwy,197453,4
0.861,0.651,9,-4.718,0,0.111,0.0739,0.0,0.211,0.421,122.985,audio_features,79reBHqpRoWXaQbjBBY3UC,spotify:track:79reBHqpRoWXaQbjBBY3UC,https://api.spotify.com/v1/tracks/79reBHqpRoWXaQbjBBY3UC,https://api.spotify.com/v1/audio-analysis/79reBHqpRoWXaQbjBBY3UC,310907,4
0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097,audio_features,12PNcnMsjsZ3eHm62t8hiy,spotify:track:12PNcnMsjsZ3eHm62t8hiy,https://api.spotify.com/v1/tracks/12PNcnMsjsZ3eHm62t8hiy,https://api.spotify.com/v1/audio-analysis/12PNcnMsjsZ3eHm62t8hiy,232507,4
0.558,0.312,7,-14.516,1,0.0291,0.231,0.928,0.198,0.472,99.946,audio_features,6a1WGK9LAc7B5ElYbnZW1a,spotify:track:6a1WGK9LAc7B5ElYbnZW1a,https://api.spotify.com/v1/tracks/6a1WGK9LAc7B5ElYbnZW1a,https://api.spotify.com/v1/audio-analysis/6a1WGK9LAc7B5ElYbnZW1a,196200,1
0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,audio_features,4Yxc55NX3tAXC2mHRAhtcW,spotify:track:4Yxc55NX3tAXC2mHRAhtcW,https://api.spotify.com/v1/tracks/4Yxc55NX3tAXC2mHRAhtcW,https://api.spotify.com/v1/audio-analysis/4Yxc55NX3tAXC2mHRAhtcW,177323,3
0.55,0.701,0,-5.911,1,0.0319,0.782,1.14e-05,0.386,0.115,129.048,audio_features,17SFjTyt6kz24l744hQ90Q,spotify:track:17SFjTyt6kz24l744hQ90Q,https://api.spotify.com/v1/tracks/17SFjTyt6kz24l744hQ90Q,https://api.spotify.com/v1/audio-analysis/17SFjTyt6kz24l744hQ90Q,273773,4
0.575,0.911,9,-5.318,0,0.0639,0.306,0.0,0.434,0.407,150.001,audio_features,1IUtgwxLYzDVd41EgbKUjX,spotify:track:1IUtgwxLYzDVd41EgbKUjX,https://api.spotify.com/v1/tracks/1IUtgwxLYzDVd41EgbKUjX,https://api.spotify.com/v1/audio-analysis/1IUtgwxLYzDVd41EgbKUjX,240333,4
0.837,0.663,11,-6.434,1,0.334,0.0762,0.0,0.0941,0.293,95.081,audio_features,0zlru783fmr588D5RY9ERU,spotify:track:0zlru783fmr588D5RY9ERU,https://api.spotify.com/v1/tracks/0zlru783fmr588D5RY9ERU,https://api.spotify.com/v1/audio-analysis/0zlru783fmr588D5RY9ERU,156032,4
0.517,0.86,4,-6.434,1,0.037,0.000111,2.15e-06,0.682,0.688,152.269,audio_features,7wMfeQ28fxxrliSXnzJhiy,spotify:track:7wMfeQ28fxxrliSXnzJhiy,https://api.spotify.com/v1/tracks/7wMfeQ28fxxrliSXnzJhiy,https://api.spotify.com/v1/audio-analysis/7wMfeQ28fxxrliSXnzJhiy,83253,4
0.649,0.838,2,-4.138,0,0.078,0.216,0.0,0.638,0.964,139.962,audio_features,4wODOg3NPt56JE0sB6d5hY,spotify:track:4wODOg3NPt56JE0sB6d5hY,https://api.spotify.com/v1/tracks/4wODOg3NPt56JE0sB6d5hY,https://api.spotify.com/v1/audio-analysis/4wODOg3NPt56JE0sB6d5hY,194680,4
